year,title,clean_test,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013,imdb_id,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error,rating
2013,21 &amp; Over,notalk,13000000,25682380,42195766,13000000,25682380,42195766,1711425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2012,Dredd 3D,ok,45000000,13414714,40868994,45658735,13611086,41467257,1343727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2013,12 Years a Slave,notalk,20000000,53107035,158607035,20000000,53107035,158607035,2024544,English,"USA, UK","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)",97,8.3,Steve McQueen,8-Nov-13,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","Biography, Drama, History",Won 3 Oscars. Another 131 wins & 137 nominations.,134 min,movie,http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,"143,446",NA,1
2013,2 Guns,notalk,61000000,75612460,132493015,61000000,75612460,132493015,1272878,"English, Spanish",USA,"Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)",55,6.8,Baltasar Kormákur,2-Aug-13,"Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","Action, Comedy, Crime",1 win.,109 min,movie,http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg,"87,301",NA,1
2013,42,men,40000000,95020213,95020213,40000000,95020213,95020213,453562,English,USA,Brian Helgeland,62,7.6,Brian Helgeland,12-Apr-13,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni","Biography, Drama, Sport",3 wins & 13 nominations.,128 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_SX300.jpg,"43,608",NA,2
2013,47 Ronin,men,225000000,38362475,145803842,225000000,38362475,145803842,1335975,"English, Japanese",USA,"Chris Morgan (screenplay), Hossein Amini (screenplay), Chris Morgan (screen story by), Walter Hamada (screen story by)",29,6.6,Carl Rinsch,25-Dec-13,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano","Action, Adventure, Fantasy",1 nomination.,118 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc0MjE2NzE0OV5BMl5BanBnXkFtZTgwNTU5MjE1MDE@._V1_SX300.jpg,"25,735",NA,2
2013,A Good Day to Die Hard,notalk,92000000,67349198,304249198,92000000,67349198,304249198,1606378,"English, Russian, Hindi",USA,"Skip Woods, Roderick Thorp (certain original characters by)",28,5.4,John Moore,14-Feb-13,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead","Action, Crime, Thriller",2 wins & 3 nominations.,98 min,movie,http://ia.media-imdb.com/images/M/MV5BMTcwNzgyNzUzOV5BMl5BanBnXkFtZTcwMzAwOTA5OA@@._V1_SX300.jpg,"123,837",NA,1
2013,About Time,ok,12000000,15323921,87324746,12000000,15323921,87324746,2194499,English,UK,Richard Curtis,55,7.8,Richard Curtis,8-Nov-13,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson","Drama, Fantasy, Romance",1 win & 6 nominations.,123 min,movie,http://ia.media-imdb.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_SX300.jpg,"85,871",NA,3
2013,Admission,ok,13000000,18007317,18007317,13000000,18007317,18007317,1814621,English,USA,"Karen Croner (screenplay), Jean Hanff Korelitz (based on the novel by)",48,5.7,Paul Weitz,22-Mar-13,"Tina Fey, Ann Harada, Ben Levin, Dan Levy","Comedy, Drama, Romance",N/A,107 min,movie,http://ia.media-imdb.com/images/M/MV5BOTE2OTkwNzg5Ml5BMl5BanBnXkFtZTcwOTY0NzQ3OA@@._V1_SX300.jpg,"18,973",NA,3
2013,After Earth,notalk,130000000,60522097,244373198,130000000,60522097,244373198,1815862,English,USA,"Gary Whitta (screenplay), M. Night Shyamalan (screenplay), Will Smith (story)",33,5,M. Night Shyamalan,31-May-13,"Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz","Action, Adventure, Sci-Fi",3 wins & 5 nominations.,100 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY3MzQyMjkwMl5BMl5BanBnXkFtZTcwMDk2OTE0OQ@@._V1_SX300.jpg,"108,264",NA,1
